,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
148,caravelas,BR,2022-04-23 07:21:34,-17.7125,-39.2481,61,68,83.35399999999996,2.69
149,paita,PE,2022-04-23 07:21:35,-5.0892,-81.1144,26,86,67.60399999999996,4.29
150,la roche-sur-yon,FR,2022-04-23 07:21:35,46.6667,-1.4333,40,59,66.74000000000002,4.63
151,pitea,SE,2022-04-23 07:21:35,65.3172,21.4794,83,76,44.95999999999998,2.31
152,saint george,US,2022-04-23 07:16:45,37.1041,-113.5841,0,82,42.908,0
153,dunmore town,BS,2022-04-23 07:21:36,25.5,-76.65,15,73,74.53399999999999,10
154,santiago de chuco,PE,2022-04-23 07:21:36,-8.15,-78.1833,65,87,49.60399999999996,0.48
155,sorland,NO,2022-04-23 07:21:36,67.667,12.6934,63,72,40.85600000000003,4.95
156,san luis,AR,2022-04-23 07:17:24,-33.295,-66.3356,2,65,59.935999999999964,6.64
157,pascagoula,US,2022-04-23 07:18:26,30.3658,-88.5561,0,95,67.19000000000003,0
158,nouadhibou,MR,2022-04-23 07:21:37,20.931,-17.0347,41,43,75.45199999999997,7.2
159,abu samrah,SY,2022-04-23 07:21:37,35.3029,37.1841,50,10,89.47400000000002,1.85
160,tubruq,,,,,,,,
161,umm durman,,,,,,,,
162,nizhnyaya salda,RU,2022-04-23 07:21:38,58.0776,60.7202,55,39,46.52599999999999,3.06
163,cidreira,BR,2022-04-23 07:21:38,-30.1811,-50.2056,99,85,63.08599999999997,7.39
164,joao camara,BR,2022-04-23 07:21:38,-5.5375,-35.8197,100,73,81.91400000000004,5.88
165,adrar,MR,2022-04-23 07:21:39,20.5022,-10.0711,80,14,85.38800000000005,4.8
166,skibbereen,IE,2022-04-23 07:18:32,51.55,-9.2667,29,67,58.36999999999996,5.61
167,porto walter,BR,2022-04-23 07:21:39,-8.2686,-72.7439,100,90,73.43599999999998,1.3
168,nchelenge,ZM,2022-04-23 07:21:39,-9.3451,28.734,59,65,79.34000000000003,2.44
169,plouzane,FR,2022-04-23 07:21:40,48.3833,-4.6167,20,68,62.924000000000014,7.2
170,lodwar,KE,2022-04-23 07:21:40,3.1191,35.5973,100,31,94.36999999999996,5.4
171,loandjili,CG,2022-04-23 07:21:40,-4.7561,11.8578,40,74,86.37799999999996,4.63
172,tucurui,BR,2022-04-23 07:21:41,-3.7661,-49.6725,99,99,72.12200000000004,1.26
173,massena,US,2022-04-23 07:20:00,44.9281,-74.8919,0,75,40.98200000000001,3.09
174,zilair,RU,2022-04-23 07:21:41,52.2332,57.4392,100,84,36.733999999999995,5.15
175,quetta,PK,2022-04-23 07:21:41,30.199,67.0097,41,9,80.88800000000005,2.08
176,gwadar,PK,2022-04-23 07:21:42,25.1216,62.3254,100,72,84.57799999999997,5.32
177,troitsko-pechorsk,RU,2022-04-23 07:21:42,62.7084,56.1964,100,95,38.82200000000004,2.56
178,tapaua,,,,,,,,
179,severodvinsk,RU,2022-04-23 07:21:42,64.5635,39.8302,98,84,37.77799999999996,4.62
180,nuuk,GL,2022-04-23 07:21:43,64.1835,-51.7216,75,93,34.682000000000016,5.14
181,hata,IN,2022-04-23 07:21:43,26.7461,83.7403,0,6,105.56600000000002,7.59
182,bellegarde-sur-valserine,FR,2022-04-23 07:21:44,46.1079,5.8242,100,76,60.61999999999996,1.9
183,eskasem,,,,,,,,
184,savannah bight,HN,2022-04-23 07:21:44,16.45,-85.85,82,74,79.06999999999996,1.42
185,alghero,IT,2022-04-23 07:21:44,40.5589,8.3181,0,56,70.15999999999998,9.26
186,sao filipe,CV,2022-04-23 07:21:45,14.8961,-24.4956,51,70,75.74000000000002,2.52
187,imbituba,BR,2022-04-23 07:21:45,-28.24,-48.6703,100,81,71.13200000000002,2.18
188,juba,SS,2022-04-23 07:21:46,4.8517,31.5825,76,32,97.26799999999999,1.36
189,de panne,BE,2022-04-23 07:21:46,51.0792,2.5917,20,62,65.58800000000005,7.2
